date,white,white_elo,black,black_elo,opening
2021.03.04,rishaanskhot,614,jerolastiri,674,"Bongcloud Attack"
2021.03.04,FELIPERICHIERI,1647,rafamarangoni,1641,"Bongcloud Attack"
2021.03.04,Super_Nova_Cat,1693,bohys,1739,"Bongcloud Attack"
2021.03.04,Zolboo0806,1364,Mygmarsvren12,1559,"Bongcloud Attack"
2021.03.04,DoYouKnowWhoIAm,1622,magicsentence,1550,"Bongcloud Attack"
2021.03.04,notastoic,840,ap2020up,1821,"Bongcloud Attack"
2021.03.04,ArkaGonchoudhuri,1103,Villeviktor123,1158,"Bongcloud Attack"
2021.03.04,damnikindadontcare,1319,DAR99,1328,"Bongcloud Attack"
2021.03.04,dmischkeram,1911,Gunees,1696,"Bongcloud Attack"
2021.03.04,RUTAMZANWAR,1339,Arav_dhoot,1438,"Bongcloud Attack"
2021.03.04,Itsgktime,1466,kostas414,1494,"Bongcloud Attack"
2021.03.04,Itsgktime,1459,Erenozden20,1478,"Bongcloud Attack"
2021.03.04,Chduxud,1425,andrewqa,1486,"Bongcloud Attack"
2021.03.04,hilfigertout,1135,kasfex,1118,"Bongcloud Attack"
2021.03.04,notahmed,1300,Aryanathaa,1299,"Bongcloud Attack"
2021.03.04,TylerDurden00,1932,tegi,1906,"Bongcloud Attack"
2021.03.04,Dhiraj4168,1133,mankriti1611,1104,"Bongcloud Attack"
2021.03.04,GAGACHECKER,1001,jport500,1069,"Bongcloud Attack"
2021.03.04,hilfigertout,1144,PolskiMasterMind,1253,"Bongcloud Attack"
2021.03.04,iamtrying2playchess,1760,SentVinsent,1749,"Bongcloud Attack"
2021.03.04,RM_679,1497,proatomic123,1511,"Bongcloud Attack"
2021.03.04,JimmyRustles,1783,B_jalalat,1726,"Bongcloud Attack"
2021.03.04,Enrique418,1697,I_R1,1299,"Bongcloud Attack"
2021.03.04,SawioS,917,memirskor,1005,"Bongcloud Attack"
2021.03.04,ELISEO2D,756,valeria2c,1530,"Bongcloud Attack"
2021.03.04,NKoreaFanboy,627,Ola0987,629,"Bongcloud Attack"
2021.03.04,msanii,1989,uchame,1817,"Bongcloud Attack"
2021.03.04,LeonidPetreski,2097,JaNN14,1104,"Bongcloud Attack"
2021.03.04,globus13,1333,CJ0602,1328,"Bongcloud Attack"
2021.03.04,DreamLich,1053,gabal2006,1140,"Bongcloud Attack"
2021.03.04,Sebastian_Torres,1500,TJSteel75,1374,"Bongcloud Attack"
2021.03.04,jayemay,1252,mardukagressivo,1134,"Bongcloud Attack"
2021.03.04,jdaws,875,calvindimmig,902,"Bongcloud Attack"
2021.03.04,Zaton71,1490,MrHolmanTheSmarty,1543,"Bongcloud Attack"
2021.03.04,illegalDisease,1327,rezoner,1404,"Bongcloud Attack"
2021.03.04,ArieS_ICT,932,Sven_ICT,1351,"Bongcloud Attack"
